id,name,difficulty,isopen,isgroomed,info,length,type,isTrailWork,area
4900,Big Rock Park - East,2,True,True,,0 (ft),1,True,Blue Sky Basin
4901,Big Rock Park - West,2,True,True,,0 (ft),1,True,Blue Sky Basin
6961,Champagne Glade,3,True,False,,0 (ft),1,False,Blue Sky Basin
4902,China Spur,2,True,True,,0 (ft),1,True,Blue Sky Basin
4903,Cloud 9 - Lower,2,True,True,,0 (ft),1,True,Blue Sky Basin
4904,Cloud 9 - Middle,2,True,True,,0 (ft),1,True,Blue Sky Basin
4905,Cloud 9 - Upper,2,True,True,,0 (ft),1,True,Blue Sky Basin
4912,Encore,3,True,False,,0 (ft),1,False,Blue Sky Basin
4906,Grand Review,2,True,False,,0 (ft),1,False,Blue Sky Basin
4907,Grand Review - Lower,2,True,False,,0 (ft),1,False,Blue Sky Basin
4913,Heavy Metal,3,True,False,,0 (ft),1,False,Blue Sky Basin
4914,Hornsilver,3,True,False,,0 (ft),1,False,Blue Sky Basin
4908,In The Wuides,2,True,False,,0 (ft),1,False,Blue Sky Basin
4915,Iron Mask,3,True,False,,0 (ft),1,False,Blue Sky Basin
4909,Kelly's Toll Road,2,True,True,,0 (ft),1,True,Blue Sky Basin
4916,Little Ollie,3,True,False,,0 (ft),1,False,Blue Sky Basin
4917,Lovers Leap,3,True,False,,0 (ft),1,False,Blue Sky Basin
4918,Resolution,3,True,False,,0 (ft),1,False,Blue Sky Basin
4919,Resolution Road,3,True,True,,0 (ft),1,True,Blue Sky Basin
5890,Skree Field,3,True,False,,0 (ft),1,False,Blue Sky Basin
5889,Steep and Deep,4,True,False,,0 (ft),1,False,Blue Sky Basin
4920,The Divide,3,True,False,,0 (ft),1,False,Blue Sky Basin
4921,The Divide Ridge,3,True,False,,0 (ft),1,False,Blue Sky Basin
4910,The Star,2,True,True,,0 (ft),1,True,Blue Sky Basin
4911,The Star - Lower,2,True,False,,0 (ft),1,False,Blue Sky Basin
4925,China Bowl to Two Elk,2,True,True,,0 (ft),1,True,China Bowl
4926,Chopstix,2,True,True,,0 (ft),1,True,China Bowl
4929,Dragons Teeth,3,True,False,,0 (ft),1,False,China Bowl
4930,Genghis Kahn,3,True,False,,0 (ft),1,False,China Bowl
4931,Jade Face,3,True,False,,0 (ft),1,False,China Bowl
4932,Orient Express,3,True,False,,0 (ft),1,False,China Bowl
4927,Poppy Fields East,2,True,False,,0 (ft),1,False,China Bowl
4928,Poppy Fields West,2,True,True,,0 (ft),1,True,China Bowl
4933,Rasputins Revenge,3,True,False,,0 (ft),1,False,China Bowl
4934,Shangri-La,3,True,False,,0 (ft),1,False,China Bowl
4935,Sweet N Sour,3,True,False,,0 (ft),1,False,China Bowl
4942,10% Road,2,True,True,,0 (ft),1,True,Game Creek Bowl
4943,Baccarat,2,True,False,,0 (ft),1,False,Game Creek Bowl
4944,Club Walk,1,True,True,,0 (ft),1,True,Game Creek Bowl
4945,Dealer's Choice,2,True,True,,0 (ft),1,True,Game Creek Bowl
4949,Deuces Wild,3,True,False,,0 (ft),1,False,Game Creek Bowl
4950,Faro,3,True,False,,0 (ft),1,False,Game Creek Bowl
4951,Faro Glade,3,True,False,,0 (ft),1,False,Game Creek Bowl
4939,Game Trail,1,True,True,,0 (ft),1,True,Game Creek Bowl
4940,Lost Boy,1,True,True,,0 (ft),1,True,Game Creek Bowl
4941,Lost Boy Catwalk,1,True,True,,0 (ft),1,True,Game Creek Bowl
4952,Ouzo,3,True,False,,0 (ft),1,False,Game Creek Bowl
4953,Ouzo - Lower,3,True,False,,0 (ft),1,False,Game Creek Bowl
4954,Ouzo Glade,3,True,False,,0 (ft),1,False,Game Creek Bowl
4946,Poker Flats,2,True,True,,0 (ft),1,True,Game Creek Bowl
4947,Showboat,2,True,True,,0 (ft),1,True,Game Creek Bowl
4948,The Woods,2,True,False,,0 (ft),1,False,Game Creek Bowl
4955,Wild Card,3,True,False,,0 (ft),1,False,Game Creek Bowl
4957,12 to 1 Connector,1,True,True,,0 (ft),1,True,Golden Peak
4958,Brisk Walk,1,True,True,,0 (ft),1,True,Golden Peak
4959,Brisk Walk - Lower,1,True,True,,0 (ft),1,True,Golden Peak
4960,Brisk Walk - Upper,1,True,True,,0 (ft),1,True,Golden Peak
5885,Fall Line - Race Trail,3,True,False,,0 (ft),1,False,Golden Peak
6953,Golden Peak Race - Race Trail,3,True,False,,0 (ft),1,False,Golden Peak
4972,Golden Peak Terrain Park - Middle,5,True,False,,0 (ft),1,False,Golden Peak
4973,Golden Peak Terrain Park - Mini Pipe,5,True,False,,0 (ft),1,False,Golden Peak
4974,Golden Peak Terrain Park - Upper,5,True,False,,0 (ft),1,False,Golden Peak
4961,Gopher Hill - Chair 12,1,True,True,,0 (ft),1,True,Golden Peak
4962,Grand Junction CW,1,True,True,,0 (ft),1,True,Golden Peak
5886,Hairbag Alley,3,True,False,,0 (ft),1,False,Golden Peak
5887,Klickity Klack,3,True,False,,0 (ft),1,False,Golden Peak
4963,Mil Creek Road,1,True,True,,0 (ft),1,True,Golden Peak
4966,Pony Express - Lower,2,True,False,,0 (ft),1,False,Golden Peak
4967,Pony Express - Upper,2,True,False,,0 (ft),1,False,Golden Peak
4964,Rip's Ride Teaching Area,1,True,False,,0 (ft),1,False,Golden Peak
4968,Riva Catwalk,2,True,True,,0 (ft),1,True,Golden Peak
4969,Ruder's - Lower,2,True,True,,0 (ft),1,True,Golden Peak
4970,Ruder's - Upper,2,True,True,,0 (ft),1,True,Golden Peak
5891,Slalom Alley - Race Trail,3,True,False,,0 (ft),1,False,Golden Peak
4971,Whippersnapper,2,True,False,,0 (ft),1,False,Golden Peak
5034,Berries - Lower,3,True,True,,0 (ft),1,True,Lionshead
5008,Berries - Upper,2,True,True,,0 (ft),1,True,Lionshead
4982,Born Free - Lower,1,True,True,,0 (ft),1,True,Lionshead
5009,Born Free - Lower Middle,2,True,True,,0 (ft),1,True,Lionshead
5010,Born Free - Upper,2,True,False,,0 (ft),1,False,Lionshead
4983,Born Free - Upper Middle,1,True,True,,0 (ft),1,True,Lionshead
5035,Bwana - Expert Face,3,True,False,,0 (ft),1,False,Lionshead
5011,Bwana - Lower,2,True,False,,0 (ft),1,False,Lionshead
5012,Bwana - Middle,2,True,True,,0 (ft),1,True,Lionshead
5013,Bwana - Upper,2,True,False,,0 (ft),1,False,Lionshead
4984,Bwana Junction,1,True,True,,0 (ft),1,True,Lionshead
4985,Bwana Loop,1,True,True,,0 (ft),1,True,Lionshead
5014,Cascade Way,2,True,True,,0 (ft),1,True,Lionshead
4986,Chair 15,1,True,True,,0 (ft),1,True,Lionshead
5015,Cheetah,2,True,True,,0 (ft),1,True,Lionshead
5016,Columbine - Lower,2,True,True,,0 (ft),1,True,Lionshead
5017,Columbine - Upper,2,True,False,,0 (ft),1,False,Lionshead
4987,Coyote Crossing,1,True,True,,0 (ft),1,True,Lionshead
4988,Cub's Way - Lower,1,True,True,,0 (ft),1,True,Lionshead
4989,Cub's Way - Upper,1,True,True,,0 (ft),1,True,Lionshead
4990,Ha Ha - East,1,True,True,,0 (ft),1,True,Lionshead
4991,Ha Ha - West,1,True,True,,0 (ft),1,True,Lionshead
5018,Ledges - Lower,2,True,False,,0 (ft),1,False,Lionshead
5020,Ledges - Upper,2,True,True,,0 (ft),1,True,Lionshead
4992,Lionshead Catwalk - Lower,1,True,True,,0 (ft),1,True,Lionshead
4993,Lionshead Catwalk - Upper,1,True,True,,0 (ft),1,True,Lionshead
5021,Lodgepole - Lower,2,True,True,,0 (ft),1,True,Lionshead
5022,Lodgepole - Upper,2,True,True,,0 (ft),1,True,Lionshead
5023,Lodgepole Gulch,2,True,True,,0 (ft),1,True,Lionshead
5024,Lodgepole Gulch Cutoff,2,True,False,,0 (ft),1,False,Lionshead
4994,Magic Forest,1,True,True,,0 (ft),1,True,Lionshead
5036,Minnie's - Lower,3,True,False,,0 (ft),1,False,Lionshead
4995,Minnie's - Middle,1,True,True,,0 (ft),1,True,Lionshead
5037,Minnie's - Upper,3,True,False,,0 (ft),1,False,Lionshead
6954,Old 9 Line,3,True,False,,0 (ft),1,False,Lionshead
4996,Owl's Roost 1,1,True,True,,0 (ft),1,True,Lionshead
4997,Owl's Roost 2,1,True,True,,0 (ft),1,True,Lionshead
5025,Pickeroon - Lower,3,True,False,,0 (ft),1,False,Lionshead
5026,Pickeroon - Upper,2,True,False,,0 (ft),1,False,Lionshead
4998,Pika,1,True,True,,0 (ft),1,True,Lionshead
4999,Post Road,1,True,True,,0 (ft),1,True,Lionshead
5000,Practice Parkway,1,True,True,,0 (ft),1,True,Lionshead
5027,Pride - Lower,2,True,True,,0 (ft),1,True,Lionshead
5028,Pride - Middle,2,True,True,,0 (ft),1,True,Lionshead
5038,Pride - Upper,2,True,True,,0 (ft),1,True,Lionshead
5001,Ridge Route,1,True,False,,0 (ft),1,False,Lionshead
5039,Safari - East,3,True,False,,0 (ft),1,False,Lionshead
5040,Safari - Lower,3,True,False,,0 (ft),1,False,Lionshead
5029,Safari - Middle,2,True,True,,0 (ft),1,True,Lionshead
5030,Safari - West,2,True,False,,0 (ft),1,False,Lionshead
5041,Simba - Expert Face,3,True,False,,0 (ft),1,False,Lionshead
5031,Simba - Lower,2,True,True,,0 (ft),1,True,Lionshead
5032,Simba - Middle,2,True,True,,0 (ft),1,True,Lionshead
5033,Simba - Upper,2,True,True,,0 (ft),1,True,Lionshead
5019,Ski School Ledges,1,True,True,,0 (ft),1,True,Lionshead
5002,Spring Catwalk,1,True,True,,0 (ft),1,True,Lionshead
5003,The Preserve,2,True,False,,0 (ft),1,False,Lionshead
5004,The Preserve - Lower,3,True,False,,0 (ft),1,False,Lionshead
5067,Avanti - Lower,2,True,True,,0 (ft),1,True,Mid-Vail
5094,Avanti - Middle,3,True,True,,0 (ft),1,True,Mid-Vail
5068,Avanti - Upper,2,True,True,,0 (ft),1,True,Mid-Vail
6000,Avanti Terrain Park,5,True,False,,0 (ft),1,False,Mid-Vail
5072,Ben's Face,2,True,False,,0 (ft),1,False,Mid-Vail
5073,Black Forest,2,True,False,,0 (ft),1,False,Mid-Vail
5074,Buckskin Glade,2,True,False,,0 (ft),1,False,Mid-Vail
5784,Cady's Café,3,True,False,,0 (ft),1,False,Mid-Vail
5075,Cappuccino,2,True,False,,0 (ft),1,False,Mid-Vail
5095,Challenge,3,True,False,,0 (ft),1,False,Mid-Vail
5076,Chaos Canyon,2,True,True,,0 (ft),1,True,Mid-Vail
5077,Christmas,2,True,True,,0 (ft),1,True,Mid-Vail
5051,Cold Feet,1,True,True,,0 (ft),1,True,Mid-Vail
5052,Compromise,1,True,True,,0 (ft),1,True,Mid-Vail
5096,Cookshack,3,True,False,,0 (ft),1,False,Mid-Vail
5053,Eagle's Nest Ridge,1,True,True,,0 (ft),1,True,Mid-Vail
5079,G-Force Alley,2,True,True,,0 (ft),1,True,Mid-Vail
5054,Gitalong Road - Lower,1,True,True,,0 (ft),1,True,Mid-Vail
5055,Gitalong Road - Middle,1,True,True,,0 (ft),1,True,Mid-Vail
5056,Gitalong Road - Upper,1,True,True,,0 (ft),1,True,Mid-Vail
5098,Head First,3,True,False,,0 (ft),1,False,Mid-Vail
5080,Hunky Dory,2,True,True,,0 (ft),1,True,Mid-Vail
5099,Kangaroo Cornice,3,True,False,,0 (ft),1,False,Mid-Vail
5058,Lionsway - Lower,1,True,True,,0 (ft),1,True,Mid-Vail
5057,Lionsway - Upper,1,True,True,,0 (ft),1,True,Mid-Vail
5103,Look Ma,3,True,False,,0 (ft),1,False,Mid-Vail
5059,Meadows - Lower,1,True,True,,0 (ft),1,True,Mid-Vail
5060,Meadows - Upper,1,True,True,,0 (ft),1,True,Mid-Vail
5081,Mid-Vail Express,2,True,True,,0 (ft),1,True,Mid-Vail
5061,Northface Catwalk,1,True,True,,0 (ft),1,True,Mid-Vail
5062,Overeasy,1,True,True,,0 (ft),1,True,Mid-Vail
5082,Powerline,2,True,False,,0 (ft),1,False,Mid-Vail
5781,Powerline Glade,3,True,False,,0 (ft),1,False,Mid-Vail
5105,Prima - Brown's Face,3,True,False,,0 (ft),1,False,Mid-Vail
5083,Prima - Lower,2,True,False,,0 (ft),1,False,Mid-Vail
5106,Prima - Middle,3,True,False,,0 (ft),1,False,Mid-Vail
5112,Prima - Upper,4,True,False,,0 (ft),1,False,Mid-Vail
5888,Prima Cornice,4,True,False,,0 (ft),1,False,Mid-Vail
5084,Ramshorn - Lower,2,True,True,,0 (ft),1,True,Mid-Vail
5085,Ramshorn - Upper,2,True,True,,0 (ft),1,True,Mid-Vail
5779,Riva Glade,3,True,False,,0 (ft),1,False,Mid-Vail
5087,Riva Ridge - Middle,2,True,False,,0 (ft),1,False,Mid-Vail
5107,Riva Ridge - Tourist Trap,3,True,False,,0 (ft),1,False,Mid-Vail
5108,Riva Ridge - Upper,3,True,False,,0 (ft),1,False,Mid-Vail
5063,Skid Road,1,True,True,,0 (ft),1,True,Mid-Vail
5088,Slifer Express,2,True,False,,0 (ft),1,False,Mid-Vail
5109,South Look Ma,3,True,False,,0 (ft),1,False,Mid-Vail
5089,Spruce Face,2,True,False,,0 (ft),1,False,Mid-Vail
5064,Swingsville,1,True,True,,0 (ft),1,True,Mid-Vail
5065,Swingsville Ridge,1,True,True,,0 (ft),1,True,Mid-Vail
5110,The Skipper,3,True,False,,0 (ft),1,False,Mid-Vail
5066,Trans Montane,1,True,True,,0 (ft),1,True,Mid-Vail
5092,Whistle Pig,2,True,False,,0 (ft),1,False,Mid-Vail
5163,Windows Road,3,True,True,,0 (ft),1,True,Mid-Vail
5111,Zot,3,True,False,,0 (ft),1,False,Mid-Vail
5116,Inner Mongolia,3,True,False,,0 (ft),1,False,Mongolia Bowl
5117,Outer Mongolia,3,True,False,,0 (ft),1,False,Mongolia Bowl
5133,Blue Ox,3,True,False,,0 (ft),1,False,North East Bowl
5119,Boomer,1,True,True,,0 (ft),1,True,North East Bowl
5127,Choker Cutoff,2,True,True,,0 (ft),1,True,North East Bowl
5134,First Step,3,True,False,,0 (ft),1,False,North East Bowl
5120,Flap Jack - Lower,1,True,True,,0 (ft),1,True,North East Bowl
5121,Flap Jack - Upper,1,True,True,,0 (ft),1,True,North East Bowl
5135,Gandy Dancer - Lower,3,True,False,,0 (ft),1,False,North East Bowl
5136,Gandy Dancer - Middle,3,True,False,,0 (ft),1,False,North East Bowl
5137,Gandy Dancer - Upper,3,True,False,,0 (ft),1,False,North East Bowl
5138,Highline,3,True,False,,0 (ft),1,False,North East Bowl
5128,Highline Runout,2,True,True,,0 (ft),1,True,North East Bowl
5139,Log Chute,3,True,False,,0 (ft),1,False,North East Bowl
5918,North Rim,3,True,False,,0 (ft),1,False,North East Bowl
5140,Northstar,3,True,True,,0 (ft),1,True,North East Bowl
5129,Northwoods,2,True,True,,0 (ft),1,True,North East Bowl
5130,Northwoods - Yeti's Face,2,True,False,,0 (ft),1,False,North East Bowl
5141,Pronto,3,True,False,,0 (ft),1,False,North East Bowl
5142,Rogers Run,3,True,False,,0 (ft),1,False,North East Bowl
5131,Snag Park,2,True,False,,0 (ft),1,False,North East Bowl
5122,Sourdough,1,True,True,,0 (ft),1,True,North East Bowl
5123,Sourdough - Lower,1,True,False,,0 (ft),1,False,North East Bowl
5143,South Rim,3,True,False,,0 (ft),1,False,North East Bowl
5124,Timberline Catwalk,1,True,True,,0 (ft),1,True,North East Bowl
5090,Timberline Face - East,2,True,True,,0 (ft),1,True,North East Bowl
5091,Timberline Face - South,2,True,True,,0 (ft),1,True,North East Bowl
5125,Tin Pants,1,True,True,,0 (ft),1,True,North East Bowl
5126,Tin Pants Connector,1,True,True,,0 (ft),1,True,North East Bowl
5132,Whiskey Jack,2,True,True,,0 (ft),1,True,North East Bowl
5148,Bolshoi Ballroom,3,True,False,,0 (ft),1,False,Siberia Bowl
5149,Gorky Park,3,True,False,,0 (ft),1,False,Siberia Bowl
5150,Red Square,3,True,False,,0 (ft),1,False,Siberia Bowl
5146,Silk Road - East,2,True,False,,0 (ft),1,False,Siberia Bowl
5147,Silk Road - West,2,True,False,,0 (ft),1,False,Siberia Bowl
5151,Forever,3,True,False,,0 (ft),1,False,Sun Down Bowl
5152,Morningside Ridge,3,True,True,,0 (ft),1,True,Sun Down Bowl
5153,Never,3,True,False,,0 (ft),1,False,Sun Down Bowl
5154,O.S.,3,True,False,,0 (ft),1,False,Sun Down Bowl
5155,Ptarmigan Ridge,3,True,False,,0 (ft),1,False,Sun Down Bowl
5156,Ricky's Ridge,3,True,False,,0 (ft),1,False,Sun Down Bowl
5157,Ricky's Tube,3,True,False,,0 (ft),1,False,Sun Down Bowl
5158,Seldom,3,True,False,,0 (ft),1,False,Sun Down Bowl
5159,Straight Shot,3,True,False,,0 (ft),1,False,Sun Down Bowl
5160,Sun Down Catwalk,3,True,True,,0 (ft),1,True,Sun Down Bowl
5161,Widge's,3,True,False,,0 (ft),1,False,Sun Down Bowl
5162,Windows,3,True,False,,0 (ft),1,False,Sun Down Bowl
5164,Wow,3,True,False,,0 (ft),1,False,Sun Down Bowl
5168,Apres Vous,3,True,False,,0 (ft),1,False,Sun Up Bowl
5169,Campbells,3,True,False,,0 (ft),1,False,Sun Up Bowl
5170,Chicken Yard,3,True,False,,0 (ft),1,False,Sun Up Bowl
5171,Cow's Face,3,True,False,,0 (ft),1,False,Sun Up Bowl
5172,Headwall,3,True,False,,0 (ft),1,False,Sun Up Bowl
5173,Headwall Ridge,3,True,False,,0 (ft),1,False,Sun Up Bowl
5174,High Noon Ridge,3,True,False,,0 (ft),1,False,Sun Up Bowl
5175,Milts Face,3,True,False,,0 (ft),1,False,Sun Up Bowl
5176,Over Yonder,3,True,False,,0 (ft),1,False,Sun Up Bowl
5165,Sun Up Catwalk,3,True,True,,0 (ft),1,True,Sun Up Bowl
5166,The Slot,2,True,True,,0 (ft),1,True,Sun Up Bowl
5177,Yonder,3,True,False,,0 (ft),1,False,Sun Up Bowl
5178,Yonder Gully,3,True,False,,0 (ft),1,False,Sun Up Bowl
5167,Yonder Road,2,True,False,,0 (ft),1,False,Sun Up Bowl
5185,Emperor's Choice - Lower,3,True,False,,0 (ft),1,False,Tea Cup Bowl
5181,Emperor's Choice - Upper,3,True,False,,0 (ft),1,False,Tea Cup Bowl
5186,Marmot South Gate,3,True,False,,0 (ft),1,False,Tea Cup Bowl
5187,Marmot Valley,3,True,False,,0 (ft),1,False,Tea Cup Bowl
5188,Morning Thunder,3,True,False,,0 (ft),1,False,Tea Cup Bowl
5182,Red Zinger,2,True,False,,0 (ft),1,False,Tea Cup Bowl
5183,Sleepytime Road,2,True,True,,0 (ft),1,True,Tea Cup Bowl
5184,Two Elk Ridge,2,True,True,,0 (ft),1,True,Tea Cup Bowl
5093,38,3,True,False,,0 (ft),1,False,Vail Village
5069,Bear Tree - Lower,2,True,True,,0 (ft),1,True,Vail Village
5070,Bear Tree - Middle,2,True,True,,0 (ft),1,True,Vail Village
5071,Bear Tree - Upper,2,True,True,,0 (ft),1,True,Vail Village
5783,Frontside Chutes,4,True,False,,0 (ft),1,False,Vail Village
5097,Giant Steps,3,True,False,,0 (ft),1,False,Vail Village
5100,Lindsey's - Lower,3,True,True,,0 (ft),1,True,Vail Village
5101,Lindsey's - Middle,3,True,True,,0 (ft),1,True,Vail Village
5102,Lindsey's - Upper,2,True,True,,0 (ft),1,True,Vail Village
5782,Mudslide,4,True,False,,0 (ft),1,False,Vail Village
5104,Pepi's Face,3,True,True,,0 (ft),1,True,Vail Village
5780,Pumphouse,4,True,False,,0 (ft),1,False,Vail Village
5086,Riva Ridge - Lower,2,True,True,,0 (ft),1,True,Vail Village
5005,Vail Village Catwalk - Lower,1,True,True,,0 (ft),1,True,Vail Village
5006,Vail Village Catwalk - Middle,1,True,True,,0 (ft),1,True,Vail Village
5007,Vail Village Catwalk - Upper,1,True,True,,0 (ft),1,True,Vail Village
4965,Windisch Way,1,True,True,,0 (ft),1,True,Vail Village
